"","GroupID","Site_ID","Date","Male","Females","Nymphs","Larva","Litter_depth","Canopy_cover","Soil_humidity","Waypoints","Latitude","Longitude","Province"
"53",1,"KG14 (Roman)",2019-07-03,0,0,0,0,0,0,5,1018,44.2238006591797,-76.5404968261719,"Ontario"
"54",2,"KG14 (Andreea)",2019-07-03,0,0,0,0,4,76,10,783,44.2252998352051,-76.5401992797852,"Ontario"
"55",2,"KG14 (Roman)",2019-07-03,0,0,0,0,0,0,5,1026,44.2262001037598,-76.5399017333984,"Ontario"
"56",3,"KG14 (Andreea)",2019-07-03,0,0,0,0,0,77.6,10,791,44.2267990112305,-76.5398025512695,"Ontario"
"57",3,"KG14 (Roman)",2019-07-03,0,0,0,0,0,0,40,1034,44.2267990112305,-76.538200378418,"Ontario"
"58",4,"KG14 (Andreea)",2019-07-03,0,0,0,0,3,96.3,35,799,44.2270011901855,-76.5383987426758,"Ontario"
"59",4,"KG14 (Roman)",2019-07-03,0,0,0,0,2,100,30,1042,44.2242012023926,-76.5376968383789,"Ontario"
"60",5,"KG14 (Andreea)",2019-07-03,0,0,0,0,3,97.6,20,807,44.2263984680176,-76.5391006469727,"Ontario"
"61",5,"KG14 (Roman)",2019-07-03,0,0,0,0,2,95.2,30,1050,44.2220993041992,-76.5374984741211,"Ontario"
"62",1,"KG15 (Andreea)",2019-07-02,0,0,0,0,6.5,95.5,30,691,44.2815017700195,-76.8040008544922,"Ontario"
"63",1,"KG15 (Benoit)",2019-07-02,0,0,0,0,1,100,40,1019,44.2815017700195,-76.8025970458984,"Ontario"
"64",2,"KG15 (Andreea)",2019-07-02,0,0,0,0,4,78.4,60,699,44.2821998596191,-76.8028030395508,"Ontario"
"65",2,"KG15 (Benoit)",2019-07-02,0,0,1,0,2,84.4,30,1027,44.2807998657227,-76.802001953125,"Ontario"
"66",3,"KG15 (Andreea)",2019-07-02,0,0,0,0,3,97.1,20,707,44.2816009521484,-76.8028030395508,"Ontario"
"67",3,"KG15 (Benoit)",2019-07-02,0,0,0,0,3,100,10,1035,44.2812995910645,-76.8018035888672,"Ontario"
"68",4,"KG15 (Andreea)",2019-07-02,0,0,0,0,4,84.9,50,715,44.2811012268066,-76.8014984130859,"Ontario"
"69",4,"KG15 (Benoit)",2019-07-02,0,0,0,0,0,99.4,30,1043,44.2812995910645,-76.8026962280273,"Ontario"
"70",5,"KG15 (Andreea)",2019-07-02,0,0,0,0,4,76.3,25,723,44.2812995910645,-76.8026962280273,"Ontario"
"71",5,"KG15 (Benoit)",2019-07-02,0,0,0,0,0,100,20,1051,44.2812004089355,-76.8019027709961,"Ontario"
"72",1,"KG2 (Andreea)",2019-07-04,0,0,0,0,1,91.9,25,980,44.2804985046387,-76.3310012817383,"Ontario"
"73",1,"KG2 (Roman)",2019-07-04,0,0,1,0,10,100,90,1226,44.2808990478516,-76.3321990966797,"Ontario"
"74",2,"KG2 (Andreea)",2019-07-04,0,0,0,0,4,96.6,80,988,44.2807998657227,-76.3301010131836,"Ontario"
"75",2,"KG2 (Roman)",2019-07-04,0,0,0,0,1,0,20,1234,44.2821998596191,-76.3337020874023,"Ontario"
"76",3,"KG2 (Andreea)",2019-07-04,0,0,0,0,6,98.9,30,996,44.2812004089355,-76.3296966552734,"Ontario"
"77",3,"KG2 (Roman)",2019-07-04,0,0,0,0,2,58.9,30,1242,44.2841987609863,-76.3339996337891,"Ontario"
"78",4,"KG2 (Andreea)",2019-07-04,0,0,0,0,0,0,5,1004,44.279598236084,-76.3274993896484,"Ontario"
"79",4,"KG2 (Roman)",2019-07-04,0,0,0,0,0,43.7,20,1250,44.2858009338379,-76.3339004516602,"Ontario"
"80",5,"KG2 (Andreea)",2019-07-04,0,0,0,0,4,89,40,1012,44.2793006896973,-76.331298828125,"Ontario"
"81",5,"KG2 (Roman)",2019-07-04,0,0,0,0,3,0,20,1258,44.2869987487793,-76.331901550293,"Ontario"
"82",1,"KG3 (Andreea)",2019-07-03,0,0,1,0,2,83.1,30,816,44.2844009399414,-76.5095977783203,"Ontario"
"83",1,"KG3 (Roman)",2019-07-03,0,0,1,0,0,52.7,10,1059,44.2845001220703,-76.5095977783203,"Ontario"
"84",2,"KG3 (Andreea)",2019-07-03,0,0,1,0,1,95.8,20,824,44.285701751709,-76.5099029541016,"Ontario"
"85",2,"KG3 (Roman)",2019-07-03,0,0,0,0,0,51.5,20,1067,44.2862014770508,-76.5093994140625,"Ontario"
"86",3,"KG3 (Andreea)",2019-07-03,0,1,1,0,2,97.6,20,832,44.2871017456055,-76.5102005004883,"Ontario"
"87",3,"KG3 (Roman)",2019-07-03,1,0,0,0,0,56.5,20,1075,44.2881011962891,-76.5099029541016,"Ontario"
"88",4,"KG3 (Andreea)",2019-07-03,0,0,4,0,4,98.7,30,840,44.2879981994629,-76.5110015869141,"Ontario"
"89",4,"KG3 (Roman)",2019-07-03,0,0,3,0,0,100,20,1083,44.2896995544434,-76.5102005004883,"Ontario"
"90",5,"KG3 (Andreea)",2019-07-03,0,0,2,0,1,94,20,848,44.2865982055664,-76.5106964111328,"Ontario"
"91",5,"KG3 (Roman)",2019-07-03,1,0,0,0,0,100,10,1091,44.2915000915527,-76.5108032226562,"Ontario"
"92",1,"KG4 (Andreea)",2019-07-02,0,0,4,0,2.5,100,20,734,44.5666999816895,-76.3256988525391,"Ontario"
"93",1,"KG4 (Jay)",2019-07-02,1,4,5,0,3,91.1,30,650,44.5688018798828,-76.3231964111328,"Ontario"
"94",2,"KG4 (Andreea)",2019-07-02,0,0,2,0,6,98,30,742,44.5661010742188,-76.326301574707,"Ontario"
"95",2,"KG4 (Jay)",2019-07-02,0,0,4,0,3,90.9,20,658,44.5684013366699,-76.3236999511719,"Ontario"
"96",3,"KG4 (Andreea)",2019-07-02,0,0,0,0,3,96.8,60,750,44.5671005249023,-76.325798034668,"Ontario"
"97",3,"KG4 (Jay)",2019-07-02,0,0,2,0,0,86.2,45,666,44.5676002502441,-76.3253021240234,"Ontario"
"98",4,"KG4 (Andreea)",2019-07-02,0,0,1,0,4,95.5,20,758,44.5675010681152,-76.3246994018555,"Ontario"
"99",4,"KG4 (Jay)",2019-07-02,0,0,3,0,0.5,82.8,30,674,44.5688018798828,-76.3274002075195,"Ontario"
"100",5,"KG4 (Andreea)",2019-07-02,0,0,2,0,4,96.8,75,766,44.5663986206055,-76.3239974975586,"Ontario"
"101",5,"KG4 (Jay)",2019-07-02,0,0,0,0,0.5,90.9,20,682,44.5676002502441,-76.3255004882812,"Ontario"
"102",1,"KG5 (Benoit)",2019-07-05,0,0,0,0,0,5.75,30,1280,44.4715003967285,-76.4935989379883,"Ontario"
"103",1,"KG5 (Roman)",2019-07-05,0,0,0,0,0,23.7,55,1267,44.4715995788574,-76.4935989379883,"Ontario"
"104",2,"KG5 (Benoit)",2019-07-05,0,0,1,0,0,84.6,10,1288,44.4706001281738,-76.4959030151367,"Ontario"
"105",2,"KG5 (Roman)",2019-07-05,0,0,0,0,1,97.8,10,1275,44.4706001281738,-76.4960021972656,"Ontario"
"106",3,"KG5 (Benoit)",2019-07-05,0,0,1,0,0,100,10,1296,44.469898223877,-76.4983978271484,"Ontario"
"107",3,"KG5 (Roman)",2019-07-05,0,0,1,0,1,100,20,1283,44.469898223877,-76.4984970092773,"Ontario"
"108",4,"KG5 (Benoit)",2019-07-05,0,0,2,0,0,91.1,20,1304,44.4693984985352,-76.5009002685547,"Ontario"
"109",4,"KG5 (Roman)",2019-07-05,0,0,3,0,1,100,25,1291,44.4695014953613,-76.5009002685547,"Ontario"
"110",5,"KG5 (Benoit)",2019-07-05,0,0,2,0,0,85.7,10,1312,44.4687004089355,-76.5035018920898,"Ontario"
"111",5,"KG5 (Roman)",2019-07-05,0,0,0,0,1,63.7,10,1299,44.4687004089355,-76.503303527832,"Ontario"
"112",1,"KG6 (Benoit)",2019-07-04,0,0,0,0,1,93.7,60,1151,44.3765983581543,-77.0177993774414,"Ontario"
"113",1,"KG6 (Jay)",2019-07-04,0,0,0,0,0,89.3,40,775,44.37458534,-77.02017466,"Ontario"
"114",2,"KG6 (Benoit)",2019-07-04,0,0,0,0,0,51.1,40,1159,44.3759002685547,-77.018798828125,"Ontario"
"115",2,"KG6 (Jay)",2019-07-04,0,0,0,0,0,75,15,783,44.37371717,-77.0194719,"Ontario"
"116",3,"KG6 (Benoit)",2019-07-04,0,0,0,0,0,0,10,1167,44.3745994567871,-77.019401550293,"Ontario"
"117",3,"KG6 (Jay)",2019-07-04,0,0,0,0,1,75,10,791,44.37223716,-77.01846348,"Ontario"
"118",4,"KG6 (Benoit)",2019-07-04,0,0,0,0,0,0,10,1175,44.3730010986328,-77.0185012817383,"Ontario"
"119",4,"KG6 (Jay)",2019-07-04,0,0,0,0,0,75,100,799,44.37126605,-77.01831278,"Ontario"
"120",5,"KG6 (Benoit)",2019-07-04,0,0,0,0,0,0,10,1183,44.3712997436523,-77.0178985595703,"Ontario"
"121",5,"KG6 (Jay)",2019-07-04,0,0,0,0,0.5,76.3,40,807,44.37029886,-77.01980333,"Ontario"
"122",1,"KG7 (Andreea)",2019-07-02,0,0,0,0,4,86.7,100,648,44.2543983459473,-76.9434967041016,"Ontario"
"123",1,"KG7 (Benoit)",2019-07-02,0,0,0,0,0,95,50,978,44.2547988891602,-76.9433975219727,"Ontario"
"124",2,"KG7 (Andreea)",2019-07-02,0,0,0,0,2,79.9,60,656,44.2560997009277,-76.9432983398438,"Ontario"
"125",2,"KG7 (Benoit)",2019-07-02,0,0,0,0,0,100,20,986,44.2565002441406,-76.943603515625,"Ontario"
"126",3,"KG7 (Andreea)",2019-07-02,0,0,0,0,6,76,50,664,44.2561988830566,-76.9443969726562,"Ontario"
"127",3,"KG7 (Benoit)",2019-07-02,0,0,0,0,0,61,20,994,44.255500793457,-76.9440994262695,"Ontario"
"128",4,"KG7 (Andreea)",2019-07-02,0,0,0,0,2,74,30,672,44.255199432373,-76.9432983398438,"Ontario"
"129",4,"KG7 (Benoit)",2019-07-02,0,0,0,0,0,66.4,30,1002,44.2546005249023,-76.9440994262695,"Ontario"
"130",5,"KG7 (Andreea)",2019-07-02,0,0,0,0,5,97.9,80,680,44.2546005249023,-76.9438018798828,"Ontario"
"131",5,"KG7 (Benoit)",2019-07-02,0,0,0,0,0,0,15,1010,44.2549018859863,-76.9437026977539,"Ontario"
"132",1,"KG8 (Benoit)",2019-07-03,0,0,2,0,0,92.2,35,1110,44.2164001464844,-76.6945037841797,"Ontario"
"133",1,"KG8 (Jay)",2019-07-03,0,0,0,0,0,86.7,30,733,44.2164001464844,-76.6945037841797,"Ontario"
"134",2,"KG8 (Benoit)",2019-07-03,0,0,1,1,0,80.7,25,1118,44.2167015075684,-76.6968994140625,"Ontario"
"135",2,"KG8 (Jay)",2019-07-03,0,0,0,0,0,81.8,30,741,44.2165985107422,-76.6968002319336,"Ontario"
"136",3,"KG8 (Benoit)",2019-07-03,0,1,2,1,0,62.3,30,1126,44.2182006835938,-76.6981964111328,"Ontario"
"137",3,"KG8 (Jay)",2019-07-03,0,1,0,0,0,78.6,80,749,44.217601776123,-76.6978988647461,"Ontario"
"138",4,"KG8 (Benoit)",2019-07-03,0,0,1,0,0,62.56,30,1134,44.219898223877,-76.6992034912109,"Ontario"
"139",4,"KG8 (Jay)",2019-07-03,0,0,0,0,0,83.6,20,757,44.2193984985352,-76.6988983154297,"Ontario"
"140",5,"KG8 (Benoit)",2019-07-03,0,0,0,0,0,0,20,1142,44.219898223877,-76.7006988525391,"Ontario"
"141",5,"KG8 (Jay)",2019-07-03,0,0,0,0,0,75,60,765,44.2201995849609,-76.7003021240234,"Ontario"
"142",1,"KG9 (Andreea)",2019-07-04,0,0,0,0,1,86.2,5,939,44.1372985839844,-76.7979965209961,"Ontario"
"143",1,"KG9 (Roman)",2019-07-04,0,0,2,0,0,95,60,1182,44.1370010375977,-76.7976989746094,"Ontario"
"144",2,"KG9 (Andreea)",2019-07-04,0,0,3,0,3,87.5,80,947,44.1360015869141,-76.7966003417969,"Ontario"
"145",2,"KG9 (Roman)",2019-07-04,0,0,1,0,0,54.7,60,1190,44.1353988647461,-76.7960968017578,"Ontario"
"146",3,"KG9 (Andreea)",2019-07-04,0,0,4,0,2,87,100,955,44.1347999572754,-76.7954025268555,"Ontario"
"147",3,"KG9 (Roman)",2019-07-04,0,0,8,0,0,47.5,90,1198,44.1338005065918,-76.7946014404297,"Ontario"
"148",4,"KG9 (Andreea)",2019-07-04,0,0,1,0,0,0,40,963,44.1334991455078,-76.7942962646484,"Ontario"
"149",4,"KG9 (Roman)",2019-07-04,0,0,1,0,0,53.7,80,1206,44.1355018615723,-76.7963027954102,"Ontario"
"150",5,"KG9 (Andreea)",2019-07-04,0,0,0,0,2,83.8,60,971,44.1352005004883,-76.7958984375,"Ontario"
"151",5,"KG9 (Roman)",2019-07-04,0,0,0,0,0,0,10,1214,44.1371002197266,-76.7977981567383,"Ontario"
"152",1,"OG1 (Benoit)",2019-06-24,0,0,0,0,0,97.9,20,732,45.3818016052246,-75.8197021484375,"Ontario"
"153",1,"OG1 (Roman)",2019-06-24,0,0,0,0,0,100,20,694,45.3819007873535,-75.8197021484375,"Ontario"
"154",2,"OG1 (Benoit)",2019-06-24,0,0,0,0,0,100,20,740,45.3824005126953,-75.8170013427734,"Ontario"
"155",2,"OG1 (Roman)",2019-06-24,0,0,0,0,0,100,10,702,45.3824005126953,-75.8171005249023,"Ontario"
"156",3,"OG1 (Benoit)",2019-06-24,0,0,0,0,0,37.7,80,748,45.3819007873535,-75.8143005371094,"Ontario"
"157",3,"OG1 (Roman)",2019-06-24,0,0,0,0,0,100,20,710,45.3820991516113,-75.8143997192383,"Ontario"
"158",4,"OG1 (Benoit)",2019-06-24,0,0,0,0,1,0,15,756,45.3807983398438,-75.8119964599609,"Ontario"
"159",4,"OG1 (Roman)",2019-06-24,0,0,0,0,0,0,10,718,45.3810005187988,-75.8122024536133,"Ontario"
"160",5,"OG1 (Benoit)",2019-06-24,0,0,0,0,0,88,30,764,45.3800010681152,-75.809700012207,"Ontario"
"161",5,"OG1 (Roman)",2019-06-24,0,0,0,0,0,100,10,726,45.3801002502441,-75.8096008300781,"Ontario"
"162",1,"OG10 (Andreea)",2019-06-28,0,0,0,0,1,31.3,40,603,45.4868011474609,-75.5367965698242,"Ontario"
"163",1,"OG10 (Jay)",2019-06-28,0,0,0,0,0,23,100,567,45.4872016906738,-75.5354995727539,"Ontario"
"164",2,"OG10 (Andreea)",2019-06-28,0,0,0,0,3,25.1,60,611,45.4878005981445,-75.5378036499023,"Ontario"
"165",2,"OG10 (Jay)",2019-06-28,0,0,0,0,0,0,80,575,45.4886016845703,-75.5357971191406,"Ontario"
"166",3,"OG10 (Andreea)",2019-06-28,0,0,0,0,7,56.3,80,619,45.4875984191895,-75.5382995605469,"Ontario"
"167",3,"OG10 (Jay)",2019-06-28,0,0,0,0,3,7.4,20,583,45.488899230957,-75.535400390625,"Ontario"
"168",4,"OG10 (Andreea)",2019-06-28,0,0,0,0,3,51.1,75,627,45.4873008728027,-75.5363998413086,"Ontario"
"169",4,"OG10 (Jay)",2019-06-28,0,0,0,0,3,45.9,30,591,45.4873008728027,-75.535400390625,"Ontario"
"170",5,"OG10 (Andreea)",2019-06-28,0,0,0,0,7,89.6,85,635,45.486400604248,-75.5357971191406,"Ontario"
"171",5,"OG10 (Jay)",2019-06-28,0,0,0,0,2,69.8,20,599,45.4868011474609,-75.5345993041992,"Ontario"
"172",1,"OG2 (Benoit)",2019-06-24,0,0,0,0,0,11.9,30,773,45.4263000488281,-75.7540969848633,"Ontario"
"173",1,"OG2 (Roman)",2019-06-24,0,0,0,0,0,50,20,735,45.426399230957,-75.7540969848633,"Ontario"
"174",2,"OG2 (Benoit)",2019-06-24,0,0,0,0,2,100,30,781,45.4272003173828,-75.7518997192383,"Ontario"
"175",2,"OG2 (Roman)",2019-06-24,0,0,0,0,2,100,20,743,45.4272003173828,-75.7518997192383,"Ontario"
"176",3,"OG2 (Benoit)",2019-06-24,0,0,0,0,3,100,20,789,45.4286003112793,-75.7514038085938,"Ontario"
"177",3,"OG2 (Roman)",2019-06-24,0,0,0,0,7,100,20,751,45.4285011291504,-75.7515029907227,"Ontario"
"178",4,"OG2 (Benoit)",2019-06-24,0,0,0,0,1,98.4,20,797,45.4300003051758,-75.752197265625,"Ontario"
"179",4,"OG2 (Roman)",2019-06-24,0,0,0,0,6,100,30,759,45.4300003051758,-75.752197265625,"Ontario"
"180",5,"OG2 (Benoit)",2019-06-24,0,0,0,0,1,100,20,805,45.4317016601562,-75.7531967163086,"Ontario"
"181",5,"OG2 (Roman)",2019-06-24,0,0,1,0,7,100,20,767,45.4318008422852,-75.7530975341797,"Ontario"
"182",1,"OG3 (Benoit)",2019-06-28,0,0,0,0,4,98.4,15,937,45.5069999694824,-75.8159027099609,"Ontario"
"183",1,"OG3 (Roman)",2019-06-28,0,0,0,0,12,100,30,936,45.5069999694824,-75.815803527832,"Ontario"
"184",2,"OG3 (Benoit)",2019-06-28,0,0,0,0,1,24.9,20,945,45.5082015991211,-75.8165969848633,"Ontario"
"185",2,"OG3 (Roman)",2019-06-28,0,0,0,0,2,10.5,20,944,45.50830078125,-75.8165969848633,"Ontario"
"186",3,"OG3 (Benoit)",2019-06-28,0,0,0,0,7,74.01,10,953,45.5083999633789,-75.8181991577148,"Ontario"
"187",3,"OG3 (Roman)",2019-06-28,0,1,0,0,5,100,20,952,45.5083999633789,-75.8180999755859,"Ontario"
"188",4,"OG3 (Benoit)",2019-06-28,0,0,0,0,2,74,20,961,45.5089988708496,-75.8200988769531,"Ontario"
"189",4,"OG3 (Roman)",2019-06-28,0,0,0,0,7,100,40,960,45.5089988708496,-75.8199996948242,"Ontario"
"190",5,"OG3 (Benoit)",2019-06-28,0,0,0,0,3,71.6,20,969,45.5097999572754,-75.8223037719727,"Ontario"
"191",5,"OG3 (Roman)",2019-06-28,0,0,0,0,1,15.7,25,968,45.5097999572754,-75.8224029541016,"Ontario"
"192",1,"OG4 (Andreea)",2019-06-26,0,0,0,0,1,52.1,30,552,45.3674011230469,-75.7954025268555,"Ontario"
"193",1,"OG4 (Jay)",2019-06-26,0,0,0,0,0,70.8,20,526,45.3676986694336,-75.7972030639648,"Ontario"
"194",2,"OG4 (Andreea)",2019-06-26,0,0,0,0,0.5,29.2,20,560,45.3684997558594,-75.7948989868164,"Ontario"
"195",2,"OG4 (Jay)",2019-06-26,0,0,0,0,4,76,30,534,45.3683013916016,-75.7951965332031,"Ontario"
"196",3,"OG4 (Andreea)",2019-06-26,0,0,0,0,2.5,67.7,60,568,45.3685989379883,-75.7929992675781,"Ontario"
"197",3,"OG4 (Jay)",2019-06-26,1,0,0,0,0.5,58.4,30,542,45.3683013916016,-75.7948989868164,"Ontario"
"198",4,"OG4 (Andreea)",2019-06-26,0,0,0,0,2,84.4,20,576,45.3698997497559,-75.7925033569336,"Ontario"
"199",4,"OG4 (Jay)",2019-06-26,0,0,0,0,2,10.5,20,550,45.3689002990723,-75.7959976196289,"Ontario"
"200",5,"OG4 (Andreea)",2019-06-26,0,0,0,0,2,68.8,80,584,45.3698997497559,-75.790901184082,"Ontario"
"201",5,"OG4 (Jay)",2019-06-26,0,0,0,0,2,28.2,40,558,45.3684997558594,-75.7962036132812,"Ontario"
"202",1,"OG5 (Benoit)",2019-06-04,2,2,2,0,5,100,20,294,45.3442001342773,-75.9443969726562,"Ontario"
"203",1,"OG5 (Roman)",2019-06-04,2,0,1,0,4,100,30,284,45.3446006774902,-75.9446029663086,"Ontario"
"204",2,"OG5 (Benoit)",2019-06-04,0,0,0,0,2,100,20,302,45.3428993225098,-75.943000793457,"Ontario"
"205",2,"OG5 (Roman)",2019-06-04,2,0,0,0,4,100,25,292,45.3429985046387,-75.9428024291992,"Ontario"
"206",3,"OG5 (Benoit)",2019-06-04,0,0,0,0,3,100,15,310,45.3418998718262,-75.9427032470703,"Ontario"
"207",3,"OG5 (Roman)",2019-06-04,0,1,0,0,4,100,55,300,45.3410987854004,-75.9403991699219,"Ontario"
"208",4,"OG5 (Benoit)",2019-06-04,3,1,2,0,1,97.9,15,318,45.3409996032715,-75.9412994384766,"Ontario"
"209",4,"OG5 (Roman)",2019-06-04,8,4,3,0,4,57.3,30,308,45.339900970459,-75.9403991699219,"Ontario"
"210",5,"OG5 (Benoit)",2019-06-04,4,7,0,0,3,95.8,20,326,45.339599609375,-75.940299987793,"Ontario"
"211",5,"OG5 (Roman)",2019-06-04,1,1,0,0,NA,NA,NA,316,45.3389015197754,-75.9415969848633,"Ontario"
"212",6,"OG5 (Roman)",2019-06-04,0,0,0,0,4,100,25,317,45.3386993408203,-75.9419021606445,"Ontario"
"213",1,"OG6 (Benoit)",2019-06-06,0,1,0,0,1,0,20,376,45.3630981445312,-75.8776016235352,"Ontario"
