"","province","region","site_name","site_id","date","waypoint_number","latitude","longitude","larva","nymphs","male","females","litter_depth","soil_humidity","canopy_cover","...16"
"23","ON","Kingston","Little Cataraqui Creek","KG3","2022-06-19",24,44.288200378418,-76.5105972290039,NA,3,NA,NA,0,10,20,NA
"24","ON","Kingston","Little Cataraqui Creek","KG3","2022-06-19",32,44.2896003723145,-76.5101013183594,NA,NA,NA,NA,0,10,40,NA
"25","ON","Kingston","Little Cataraqui Creek","KG3","2022-06-19",40,44.2868995666504,-76.5094985961914,NA,1,1,NA,0,10,60,NA
"26","ON","Kingston","Little Cataraqui Creek","KG3","2022-06-19",48,44.2858009338379,-76.5109024047852,NA,NA,NA,NA,0,10,87.5,NA
"27","ON","Kingston","Little Cataraqui Creek","KG3","2022-06-19",56,44.2873992919922,-76.511100769043,NA,5,NA,NA,0,10,78.1,NA
"28","ON","Kingston","Little Cataraqui Creek","KG3","2022-06-19",64,44.2890014648438,-76.5098037719727,NA,4,NA,NA,0,20,0,NA
"29","ON","Kingston","Little Cataraqui Creek","KG3","2022-06-19",72,44.2873992919922,-76.5098037719727,NA,NA,NA,NA,1,20,0,NA
"30","ON","Kingston","Little Cataraqui Creek","KG3","2022-06-19",80,44.285400390625,-76.5098037719727,NA,NA,NA,NA,1,10,0,NA
"31","ON","Kingston","Lake Opinicon (QUBS)","KG4","2022-06-20",8,44.5685005187988,-76.323600769043,NA,10,1,NA,3,30,100,NA
"32","ON","Kingston","Lake Opinicon (QUBS)","KG4","2022-06-20",16,44.5691986083984,-76.3218994140625,NA,8,NA,NA,2,20,100,NA
"33","ON","Kingston","Lake Opinicon (QUBS)","KG4","2022-06-20",24,44.567699432373,-76.3225021362305,NA,6,NA,NA,1,20,100,NA
"34","ON","Kingston","Lake Opinicon (QUBS)","KG4","2022-06-20",32,44.5667991638184,-76.3239974975586,NA,NA,NA,NA,2,15,0,NA
"35","ON","Kingston","Lake Opinicon (QUBS)","KG4","2022-06-20",40,44.567798614502,-76.3249969482422,NA,NA,NA,NA,2,20,10,NA
"36","ON","Kingston","Lake Opinicon (QUBS)","KG4","2022-06-20",48,44.5662002563477,-76.3262023925781,1,3,NA,NA,2,20,0,NA
"37","ON","Kingston","Lake Opinicon (QUBS)","KG4","2022-06-20",56,44.5672988891602,-76.3251037597656,NA,2,1,NA,3,10,0,NA
"38","ON","Kingston","Lake Opinicon (QUBS)","KG4","2022-06-20",64,44.5671005249023,-76.3255996704102,NA,5,1,NA,2,90,0,NA
"39","ON","Kingston","Lake Opinicon (QUBS)","KG4","2022-06-20",72,44.5671997070312,-76.3256988525391,NA,6,NA,NA,1,50,0,NA
"40","ON","Kingston","Lake Opinicon (QUBS)","KG4","2022-06-20",80,44.5671997070312,-76.3256988525391,NA,5,NA,NA,3,30,0,NA
"41","ON","Kingston","Perth Road","KG5","2022-06-20",8,44.4715995788574,-76.4935989379883,NA,2,NA,NA,1,15,96,NA
"42","ON","Kingston","Perth Road","KG5","2022-06-20",16,44.4706001281738,-76.4960021972656,NA,4,1,NA,0,20,100,NA
"43","ON","Kingston","Perth Road","KG5","2022-06-20",24,44.469799041748,-76.4989013671875,NA,3,1,1,0,10,100,NA
"44","ON","Kingston","Perth Road","KG5","2022-06-20",32,44.4691009521484,-76.5024032592773,NA,7,1,NA,2,30,82,NA
"45","ON","Kingston","Perth Road","KG5","2022-06-20",40,44.4682006835937,-76.5043029785156,NA,2,1,1,0,10,90,NA
"46","ON","Kingston","Perth Road","KG5","2022-06-20",48,44.4715995788574,-76.4935989379883,NA,NA,1,1,1,30,94.8,NA
"47","ON","Kingston","Perth Road","KG5","2022-06-20",56,44.4706001281738,-76.4957962036133,NA,NA,NA,NA,1,40,96.9,NA
"48","ON","Kingston","Perth Road","KG5","2022-06-20",64,44.469898223877,-76.4983978271484,NA,NA,NA,NA,2,20,0,NA
"49","ON","Kingston","Perth Road","KG5","2022-06-20",72,44.4692993164062,-76.5017013549805,NA,3,NA,NA,2,20,0,NA
"50","ON","Kingston","Perth Road","KG5","2022-06-20",80,44.4684982299805,-76.5037994384766,NA,4,NA,NA,1,20,0,NA
"51","ON","Kingston","Parrot’s Bay","KG8","2022-06-20",8,44.2164001464844,-76.6946029663086,NA,2,NA,NA,0,10,52,NA
"52","ON","Kingston","Parrot’s Bay","KG8","2022-06-20",16,44.2168998718262,-76.6970977783203,NA,2,NA,NA,0,15,54,NA
"53","ON","Kingston","Parrot’s Bay","KG8","2022-06-20",24,44.2187004089355,-76.6968002319336,NA,4,NA,NA,2,20,81,NA
"54","ON","Kingston","Parrot’s Bay","KG8","2022-06-20",32,44.2202987670898,-76.6955032348633,NA,3,NA,NA,3,25,100,NA
"55","ON","Kingston","Parrot’s Bay","KG8","2022-06-20",40,44.2220001220703,-76.6956024169922,NA,NA,NA,NA,1,15,94,NA
"56","ON","Kingston","Parrot’s Bay","KG8","2022-06-20",48,44.2164993286133,-76.6947021484375,NA,NA,NA,NA,0,40,97.9,NA
"57","ON","Kingston","Parrot’s Bay","KG8","2022-06-20",56,44.2169990539551,-76.6970977783203,NA,1,NA,1,0,20,96.9,NA
"58","ON","Kingston","Parrot’s Bay","KG8","2022-06-20",64,44.2187995910645,-76.6967010498047,NA,2,NA,NA,0,0,75,NA
"59","ON","Kingston","Parrot’s Bay","KG8","2022-06-20",72,44.2205009460449,-76.6952972412109,NA,NA,NA,NA,3,20,0,NA
"60","ON","Kingston","Parrot’s Bay","KG8","2022-06-20",80,44.2221984863281,-76.6959991455078,NA,6,NA,NA,1,40,87.5,NA
"61","ON","Kingston","Amherst Island","KG9","2022-06-20",8,44.1370010375977,-76.7976989746094,NA,3,NA,1,0,10,43,NA
"62","ON","Kingston","Amherst Island","KG9","2022-06-20",16,44.1355018615723,-76.7962036132812,NA,2,1,NA,0,10,30,NA
"63","ON","Kingston","Amherst Island","KG9","2022-06-20",24,44.1338005065918,-76.7947006225586,NA,1,NA,NA,0,20,92,NA
"64","ON","Kingston","Amherst Island","KG9","2022-06-20",32,44.1320991516113,-76.7931976318359,NA,1,NA,NA,2,20,100,NA
"65","ON","Kingston","Amherst Island","KG9","2022-06-20",40,44.1301002502441,-76.7939987182617,NA,14,2,NA,5,30,100,NA
"66","ON","Kingston","Amherst Island","KG9","2022-06-20",48,44.1367988586426,-76.7975006103516,NA,2,NA,NA,2,20,0,NA
"67","ON","Kingston","Amherst Island","KG9","2022-06-20",56,44.1351013183594,-76.7957992553711,NA,NA,NA,2,1,20,0,NA
"68","ON","Kingston","Amherst Island","KG9","2022-06-20",64,44.13330078125,-76.7941970825195,NA,1,1,1,1,40,0,NA
"69","ON","Kingston","Amherst Island","KG9","2022-06-20",72,44.1313018798828,-76.7929992675781,NA,1,NA,NA,0,10,97.9,NA
"70","ON","Kingston","Amherst Island","KG9","2022-06-20",80,44.1292991638184,-76.7925033569336,NA,1,NA,NA,0,10,75,NA
"71","ON","Kingston","Wolfe Island","KG10","2022-06-20",8,44.1231002807617,-76.4495010375977,NA,NA,NA,NA,0,4,0.2,NA
"72","ON","Kingston","Wolfe Island","KG10","2022-06-20",16,44.1217994689941,-76.4481964111328,NA,NA,NA,NA,0,0,0.2,NA
"73","ON","Kingston","Wolfe Island","KG10","2022-06-20",24,44.1206016540527,-76.4470977783203,NA,NA,NA,NA,0,3,89.6,NA
"74","ON","Kingston","Wolfe Island","KG10","2022-06-20",32,44.1192016601562,-76.4477005004883,NA,NA,1,NA,0.5,2,51.1,NA
"75","ON","Kingston","Wolfe Island","KG10","2022-06-20",40,44.1184005737305,-76.4495010375977,NA,NA,NA,NA,1,10,90.6,NA
"76","ON","Kingston","Wolfe Island","KG10","2022-06-20",48,44.1228981018066,-76.4494018554688,NA,NA,NA,NA,1,3,0,NA
"77","ON","Kingston","Wolfe Island","KG10","2022-06-20",56,44.1213989257812,-76.4478988647461,NA,NA,NA,NA,1,3,99,NA
"78","ON","Kingston","Wolfe Island","KG10","2022-06-20",64,44.1195983886719,-76.4475021362305,NA,NA,NA,NA,1,2,0,NA
"79","ON","Kingston","Wolfe Island","KG10","2022-06-20",72,44.1180000305176,-76.4497985839844,NA,NA,NA,NA,2,3,0,NA
"80","ON","Kingston","Wolfe Island","KG10","2022-06-20",80,44.1162986755371,-76.4503021240234,NA,NA,NA,NA,1,3,0,NA
"81","ON","Kingston","Arrowhead Beach Park","KG10","2022-06-19",8,44.2333984375,-76.4520034790039,NA,NA,NA,NA,4,30,56,NA
"82","ON","Kingston","Arrowhead Beach Park","KG11","2022-06-19",16,44.2322998046875,-76.4535980224609,NA,1,2,NA,0,10,90,NA
"83","ON","Kingston","Arrowhead Beach Park","KG11","2022-06-19",24,44.2313995361328,-76.4550018310547,NA,1,NA,NA,0,10,86,NA
"84","ON","Kingston","Arrowhead Beach Park","KG11","2022-06-19",32,44.2318000793457,-76.4543991088867,NA,2,NA,1,0,10,64,NA
"85","ON","Kingston","Arrowhead Beach Park","KG11","2022-06-19",40,44.2327003479004,-76.4527969360352,NA,NA,NA,NA,0,10,100,NA
"86","ON","Kingston","Arrowhead Beach Park","KG11","2022-06-19",48,44.2336006164551,-76.4524002075195,NA,NA,NA,NA,0,20,97.9,NA
"87","ON","Kingston","Arrowhead Beach Park","KG11","2022-06-19",56,44.2324981689453,-76.4533004760742,NA,NA,NA,NA,2,70,99,NA
"88","ON","Kingston","Arrowhead Beach Park","KG11","2022-06-19",64,44.2313003540039,-76.4552001953125,NA,NA,NA,1,1,30,0,NA
"89","ON","Kingston","Arrowhead Beach Park","KG11","2022-06-19",72,44.2304000854492,-76.4572982788086,NA,NA,NA,NA,2,10,0,NA
"90","ON","Kingston","Arrowhead Beach Park","KG11","2022-06-19",80,44.2295989990234,-76.4580993652344,NA,NA,NA,NA,2,10,0,NA
"91","ON","Kingston","Marshlands Conservation Area","KG14","2022-06-19",8,44.223201751709,-76.5380020141602,NA,NA,NA,NA,2,10,70,NA
"92","ON","Kingston","Marshlands Conservation Area","KG14","2022-06-19",16,44.2244987487793,-76.5385971069336,NA,NA,NA,NA,1,10,54,NA
"93","ON","Kingston","Marshlands Conservation Area","KG14","2022-06-19",24,44.2261009216309,-76.5380020141602,NA,NA,NA,NA,3,10,82,NA
"94","ON","Kingston","Marshlands Conservation Area","KG14","2022-06-19",32,44.2279014587402,-76.5376968383789,NA,NA,NA,NA,0,10,63,NA
"95","ON","Kingston","Marshlands Conservation Area","KG14","2022-06-19",40,44.2299995422363,-76.5378036499023,NA,NA,NA,NA,1,10,56,NA
"96","ON","Kingston","Marshlands Conservation Area","KG14","2022-06-19",48,44.2235984802246,-76.5376968383789,NA,NA,NA,NA,2,20,0,NA
"97","ON","Kingston","Marshlands Conservation Area","KG14","2022-06-19",56,44.225700378418,-76.5380020141602,NA,NA,NA,NA,1,20,0,NA
"98","ON","Kingston","Marshlands Conservation Area","KG14","2022-06-19",64,44.2276992797852,-76.5376968383789,NA,NA,NA,NA,0,10,75,NA
"99","ON","Kingston","Marshlands Conservation Area","KG14","2022-06-19",72,44.2289009094238,-76.5382995605469,NA,NA,NA,NA,0,50,81.3,NA
"100","ON","Kingston","Marshlands Conservation Area","KG14","2022-06-19",80,44.2282981872559,-76.5376968383789,NA,NA,NA,NA,0,10,85.4,NA
"101","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","2022-06-24",8,45.3809013366699,-75.8121032714844,NA,NA,NA,NA,0,7.5,0.2,NA
"102","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","2022-06-24",16,45.3818016052246,-75.8137969970703,NA,NA,NA,NA,0.5,8,10.6,NA
"103","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","2022-06-24",24,45.3827018737793,-75.8154983520508,NA,NA,NA,NA,0,5,44.9,NA
"104","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","2022-06-24",32,45.3838996887207,-75.8165969848633,NA,NA,NA,NA,0,10,7.4,NA
"105","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","2022-06-24",40,45.3842010498047,-75.818603515625,NA,NA,NA,NA,0,8.5,49,NA
"106","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","2022-06-24",48,45.3838996887207,-75.8167037963867,NA,NA,NA,NA,0,8.5,53.2,NA
"107","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","2022-06-24",56,45.3827018737793,-75.8154983520508,NA,NA,NA,NA,0,9.5,21,NA
"108","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","2022-06-24",64,45.3818016052246,-75.8137969970703,NA,NA,NA,NA,0,10,56.3,NA
"109","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","2022-06-24",72,45.3809013366699,-75.8121032714844,NA,NA,NA,NA,0,6,54.2,NA
"110","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","2022-06-24",80,45.380298614502,-75.8099975585938,NA,NA,NA,NA,0,10,59.4,NA
"111","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","2022-06-24",8,45.4258003234863,-75.7540969848633,NA,NA,NA,NA,0,5,91.7,NA
"112","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","2022-06-24",16,45.4268989562988,-75.7530975341797,NA,NA,NA,NA,0,6,29.3,NA
"113","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","2022-06-24",24,45.4275016784668,-75.7510986328125,NA,NA,NA,NA,1.5,4,97.9,NA
"114","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","2022-06-24",32,45.4268989562988,-75.7530975341797,NA,NA,NA,NA,0,2,28.2,NA
"115","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","2022-06-24",40,45.4276008605957,-75.753303527832,NA,NA,NA,NA,1.5,7.5,79.2,NA
"116","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","2022-06-24",48,45.4289016723633,-75.7525024414062,NA,NA,NA,NA,2,8,82.3,NA
"117","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","2022-06-24",56,45.4273986816406,-75.753303527832,NA,1,NA,NA,2.5,8.5,64.6,NA
"118","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","2022-06-24",64,45.4268989562988,-75.7537994384766,NA,NA,NA,NA,0,4,21,NA
"119","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","2022-06-24",72,45.4254989624023,-75.7539978027344,NA,NA,NA,NA,0,4,28.2,NA
"120","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","2022-06-24",80,45.4244003295898,-75.7539978027344,NA,NA,NA,NA,0,7,25.1,NA
"121","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","2022-06-27",8,45.5069007873535,-75.8159027099609,NA,NA,NA,NA,0.5,1,47,NA
"122","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","2022-06-27",16,45.5080986022949,-75.8162994384766,NA,NA,NA,NA,0,2,54.2,NA
"123","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","2022-06-27",24,45.5094985961914,-75.8175964355469,NA,NA,NA,NA,2,2,100,NA
"124","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","2022-06-27",32,45.5102005004883,-75.815803527832,NA,NA,1,NA,1,1,100,NA
"125","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","2022-06-27",40,45.5102996826172,-75.8135986328125,NA,NA,NA,NA,5,2,97.9,NA
"126","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","2022-06-27",48,45.5070991516113,-75.8159027099609,NA,NA,NA,NA,4,3,0,NA
"127","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","2022-06-27",56,45.5082015991211,-75.8165969848633,NA,NA,NA,NA,1,3,89.6,NA
"128","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","2022-06-27",64,45.5097999572754,-75.8175964355469,NA,NA,NA,NA,2,5,0,NA
"129","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","2022-06-27",72,45.5102996826172,-75.8153991699219,NA,NA,NA,NA,3,5,0,NA
"130","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","2022-06-27",80,45.5099983215332,-75.8135986328125,NA,NA,NA,NA,2,6,0,NA
"131","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","2022-06-20",8,45.3675003051758,-75.7972030639648,NA,NA,NA,1,1,2,100,NA
"132","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","2022-06-20",16,45.3680992126465,-75.7956008911133,NA,NA,NA,NA,2,2,93.8,NA
"133","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","2022-06-20",24,45.3684997558594,-75.7938003540039,NA,NA,NA,NA,3,2,100,NA
"134","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","2022-06-20",32,45.3695983886719,-75.7918014526367,NA,NA,NA,NA,1,2,100,NA
"135","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","2022-06-20",40,45.3704986572266,-75.7931976318359,NA,NA,NA,NA,0,2,90.6,NA
"136","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","2022-06-20",48,45.3675003051758,-75.7972030639648,NA,NA,NA,1,1,3,100,NA
"137","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","2022-06-20",56,45.3680992126465,-75.7956008911133,NA,NA,NA,NA,2,2,93.8,NA
"138","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","2022-06-20",64,45.3684997558594,-75.7936019897461,NA,NA,NA,NA,3,3,100,NA
"139","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","2022-06-20",72,45.3695983886719,-75.7917022705078,NA,NA,NA,NA,1,2,100,NA
"140","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","2022-06-20",80,45.3704986572266,-75.7931976318359,NA,NA,NA,NA,0,2,90.6,NA
"141","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","2022-06-23",8,45.3440017700195,-75.9461975097656,NA,NA,NA,3,1,3,100,NA
"142","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","2022-06-23",16,45.3432006835938,-75.9440994262695,NA,NA,NA,NA,0,9,100,NA
"143","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","2022-06-23",24,45.3418998718262,-75.9438018798828,NA,6,NA,NA,5,8,100,NA
"144","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","2022-06-23",32,45.3401985168457,-75.9427032470703,NA,NA,2,NA,3,4,100,NA
"145","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","2022-06-23",40,45.3386993408203,-75.9425964355469,NA,NA,NA,NA,3,3,100,NA
"146","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","2022-06-23",48,45.344898223877,-75.9471969604492,NA,1,NA,1,2,5,92.7,NA
"147","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","2022-06-23",56,45.3440017700195,-75.9456024169922,NA,NA,1,NA,5,2.5,100,NA
"148","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","2022-06-23",64,45.3434982299805,-75.9450988769531,NA,NA,NA,NA,1,2,100,NA
"149","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","2022-06-23",72,45.3428993225098,-75.9431991577148,NA,1,NA,NA,2,4,100,NA
"150","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","2022-06-23",80,45.3418006896973,-75.9438018798828,NA,1,NA,NA,5,5,100,NA
"151","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","2022-06-20",8,45.3628005981445,-75.8793029785156,NA,NA,NA,NA,0,2,36.7,NA
"152","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","2022-06-20",16,45.364200592041,-75.8795013427734,NA,NA,NA,NA,0.5,7,52.2,NA
"153","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","2022-06-20",24,45.3655014038086,-75.8804016113281,NA,NA,NA,1,0,4,100,NA
"154","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","2022-06-20",32,45.3646011352539,-75.8805999755859,NA,NA,NA,1,0.5,3,33.4,NA
"155","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","2022-06-20",40,45.3641014099121,-75.8815994262695,NA,NA,NA,NA,0.5,3,100,NA
"156","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","2022-06-20",48,45.3628005981445,-75.8793029785156,NA,1,NA,NA,0,2,25.1,NA
"157","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","2022-06-20",56,45.3641014099121,-75.8795013427734,NA,NA,NA,NA,0.5,7,30.3,NA
"158","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","2022-06-20",64,45.3656997680664,-75.880500793457,NA,NA,NA,NA,0,6,18.8,NA
"159","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","2022-06-20",72,45.3646011352539,-75.8805999755859,NA,NA,NA,1,0.5,1,33.4,NA
"160","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","2022-06-20",80,45.3641014099121,-75.8815002441406,NA,NA,NA,NA,0.5,3,100,NA
"161","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","2022-06-19",8,45.3903007507324,-75.5501022338867,NA,NA,NA,NA,1,5.5,85.4,NA
"162","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","2022-06-19",16,45.3891983032227,-75.5485000610352,NA,NA,NA,NA,3,3,73,NA
"163","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","2022-06-19",24,45.388599395752,-75.5464019775391,NA,1,1,NA,0,1,100,NA
"164","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","2022-06-19",32,45.388500213623,-75.5438995361328,NA,NA,NA,NA,1,2,87.5,NA
"165","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","2022-06-19",40,45.3883018493652,-75.5414962768555,NA,NA,NA,NA,2,2,79.2,NA
"166","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","2022-06-19",48,45.3903007507324,-75.5502014160156,NA,NA,NA,NA,1,5.5,85.4,NA
"167","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","2022-06-19",56,45.3891983032227,-75.5485000610352,NA,NA,NA,NA,3,3,73,NA
"168","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","2022-06-19",64,45.388599395752,-75.5464019775391,NA,NA,NA,NA,0,1,100,NA
"169","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","2022-06-19",72,45.388500213623,-75.5439987182617,NA,NA,NA,NA,1,2,87.5,NA
"170","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","2022-06-19",80,45.3883018493652,-75.5413970947266,NA,NA,NA,NA,2,2,79.2,NA
"171","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","2022-06-19",8,45.4632987976074,-75.6277008056641,NA,NA,NA,NA,0,4,100,NA
"172","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","2022-06-19",16,45.4634017944336,-75.6302032470703,NA,NA,NA,NA,0,2,100,NA
"173","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","2022-06-19",24,45.4625015258789,-75.6316986083984,NA,NA,NA,NA,0,5,100,NA
"174","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","2022-06-19",32,45.4622001647949,-75.6294021606445,NA,NA,NA,NA,1,10,100,NA
"175","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","2022-06-19",40,45.4626007080078,-75.6274032592773,NA,NA,NA,NA,2,7,100,NA
"176","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","2022-06-19",48,45.4632987976074,-75.6277008056641,NA,NA,NA,NA,0,4,100,NA
"177","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","2022-06-19",56,45.4634017944336,-75.6302032470703,NA,NA,NA,NA,0,2,100,NA
"178","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","2022-06-19",64,45.4625015258789,-75.6316986083984,NA,NA,NA,NA,0,3,4.3,NA
"179","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","2022-06-19",72,45.462100982666,-75.6294021606445,NA,NA,NA,NA,1,10,100,NA
"180","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","2022-06-19",80,45.4626998901367,-75.6274032592773,NA,NA,NA,NA,2,7,100,NA
